"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X14",0.00314139386418302,0.522989802093615,0.620314648017358,13.5,-0.00523961481310792,0.011522402541474,6
"X15",0.00343093236652927,0.602502811278354,0.563703822943411,12,-0.00559814867025869,0.0124600134033172,6
"X16",0.00114422731679288,0.318670385960836,0.756485445816498,15.5,-0.00361408194661258,0.00590253658019834,6
"X17",0.00266480410465751,0.4911756362731,0.638868918288576,13.7,-0.00520512550834329,0.0105347337176583,6
"X18",0.00124288906204352,0.28651011862166,0.782954220462287,16,-0.00337206823296952,0.00585784635705656,6
"X19",0.0010949580111276,0.316545330062331,0.755778010870011,14.9,-0.00395432238718533,0.00614423840944054,6
"X2",2.09814440542231,11.2525494203242,1.0513995678856e-25,8,1.73164853584478,2.46464027499984,6
"X20",0.00257197382842188,0.482422330987233,0.646027800237026,13.5,-0.00461624589224507,0.00976019354908883,6
"X3",3.80475811299471,12.8626229396887,6.45600337657624e-30,6.2,3.22374078454436,4.38577544144506,6
"X4",3.92527826172135,13.0504952228569,1.04398450069947e-34,5.7,3.33522711658357,4.51532940685912,6
"X5",3.95839885464179,12.9829658315824,2.87945278083215e-36,6.1,3.36065660539624,4.55614110388733,6
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,4,7.36862265171397,9.73634247441098,6
"X7",15.4333622973756,15.056319494816,1.21895937085169e-47,3,13.4235443864914,17.4431802082598,6
"X8",24.2844749657196,15.2963090710133,4.62498394528725e-44,2,21.1667763113412,27.402173620098,6
"X9",0.00138340718568047,0.3619109621076,0.723254855673129,15,-0.00423610200451405,0.007002916375875,6
"X1",48.3401349208912,15.4423861061,1.32503227099514e-45,1,42.1624783997676,54.5177914420149,7
"X10",0.00112461540157383,0.266233513866958,0.799470240777644,15.6,-0.00295511401480015,0.0052043448179478,7
"X11",0.00175606454864599,0.340764857475794,0.748109108582464,15.5,-0.00351613609827669,0.00702826519556866,7
"X12",0.00167067790888118,0.320208359190849,0.772072528265964,16,-0.00297955789671649,0.00632091371447885,7
"X13",0.0034901000420272,0.587601952603477,0.582757605098417,12.8,-0.00498773785365563,0.01196793793771,7
"X14",0.00314139386418302,0.522989802093637,0.62031464801734,13.5,-0.00523961481310793,0.011522402541474,7
